X_coords,Y_coords,cellID,SKP_jan-mar,SKP_apr-jun,SKP_jul-sep,SKP_oct-dec
-68.5,-34.5,1252,0.024958069158942768,NA,NA,0.012662096090786855
-67.5,-34.5,1253,0.060441760889280285,NA,NA,0.01933383388895495
-66.5,-34.5,1254,0.07502778147606015,NA,NA,0.0252368408884524
-65.5,-34.5,1255,0.052811888917876595,NA,NA,0.026080183449445283
-64.5,-34.5,1256,0.0553908579934238,NA,NA,0.04337223201957795
-60.5,-34.5,1257,0.2404116635709134,NA,NA,0.06878052400898148
-28.5,-34.5,1273,0.06494744757116601,0.029765468576616806,0.02958164443101762,0.04144803208076508
-27.5,-34.5,1274,0.04763659985007418,0.03198960156435195,0.027019647118327512,0.04080439172380935
-26.5,-34.5,1275,0.036518543488629596,0.026796240987553052,0.0260348091543422,0.037965067505764886
-25.5,-34.5,1276,0.028532797488724598,0.018862083529062525,0.018188987506887536,0.026491394410699184
-24.5,-34.5,1277,0.02611734186155306,0.018222565815578184,0.01973746178436376,0.05828324050179139
-23.5,-34.5,1278,0.038346609912850674,0.01940643644083366,0.01773209102181825,0.028148620392000494
-22.5,-34.5,1279,0.03462615697977931,0.018647431252404353,0.016660551758215895,0.022475338886071984
-21.5,-34.5,1280,0.0370972368253148,0.018385382735522187,0.017805384613024007,0.026053594599892458
-20.5,-34.5,1281,0.03518350083061909,0.01732632186554075,0.016450976944364766,0.02439972279205205
80.5,-34.5,1382,0.017291338846521183,NA,NA,0.01607497699206425
81.5,-34.5,1383,0.017356267713367082,NA,NA,0.013189793553559844
82.5,-34.5,1384,0.016869514645887533,NA,NA,0.012641950197036355
83.5,-34.5,1385,0.01772026114127836,NA,NA,0.012945759973444246
84.5,-34.5,1386,0.017768011203949868,NA,NA,0.012581119892288604
85.5,-34.5,1387,0.017273529713920495,NA,NA,0.01235077384107573
86.5,-34.5,1388,0.01733949399987044,NA,NA,0.012442409341280646
87.5,-34.5,1389,0.017993353123969085,NA,NA,0.013030850710203358
88.5,-34.5,1390,0.016190418790970044,NA,NA,0.012403549323783361
89.5,-34.5,1391,0.01613602865387299,NA,NA,0.01410211835870885
-99.5,-33.5,1450,0.025512384157644452,NA,NA,0.014464234957284017
-98.5,-33.5,1451,0.024377144371058725,NA,NA,0.01407452844670717
-97.5,-33.5,1452,0.023990087254131875,NA,NA,0.014459952700066494
-96.5,-33.5,1453,0.022938630705127024,NA,NA,0.014034583840976103
-95.5,-33.5,1454,0.0218611023652084,NA,NA,0.013168805900674863
-94.5,-33.5,1455,0.018310472073931022,NA,NA,0.01152492187726281
-93.5,-33.5,1456,0.015019085981391294,NA,NA,0.009753455023212869
-92.5,-33.5,1457,0.015169361686974192,NA,NA,0.010753088293911446
-91.5,-33.5,1458,0.015501804836746222,NA,NA,0.009989114669760307
-90.5,-33.5,1459,0.015735681693601344,NA,NA,0.011025518579771826
-79.5,-33.5,1470,0.02026273473313223,NA,NA,NA
-78.5,-33.5,1471,0.017421006165952206,NA,NA,NA
-77.5,-33.5,1472,0.016076899800022883,NA,NA,NA
-76.5,-33.5,1473,0.013455252649394145,NA,NA,NA
-75.5,-33.5,1474,0.013561613392991499,NA,NA,NA
-74.5,-33.5,1475,0.012567599736847738,NA,NA,NA
-73.5,-33.5,1476,0.012089011010792574,NA,NA,NA
-72.5,-33.5,1477,0.00987162149516596,NA,NA,NA
