X_coords,Y_coords,cellID,YFT_jan-mar,YFT_apr-jun,YFT_jul-sep,YFT_oct-dec
-26.5,-38.5,348,0.02208682777701811,0.010691810672075181,0.010197083809134286,0.018456921062795083
-25.5,-38.5,349,0.023509146478621075,0.01039436289270112,0.009927467232844722,0.018463723382127956
-24.5,-38.5,350,0.02123726045538629,0.010110773703722318,0.010349010468306228,0.016410305470041787
-23.5,-38.5,351,0.016062214765545643,0.008896243699572988,0.009149945236877585,0.013850503355225951
-22.5,-38.5,352,0.016434005561370122,0.009690779505133652,0.009721171244845972,0.014577030708217108
-21.5,-38.5,353,0.014714419161077628,0.0063184745881637045,0.008154375962217374,0.011981667037980962
-20.5,-38.5,354,0.015605238544756999,0.006368692843507513,0.00650474504260312,0.011908546065596305
80.5,-38.5,452,0.022479423693768798,NA,NA,0.0146635192280069
81.5,-38.5,453,0.021725396883047365,NA,NA,0.014064173978388009
82.5,-38.5,454,0.023253601824677367,NA,NA,0.015226085482744362
83.5,-38.5,455,0.022667570118772382,NA,NA,0.01532153219387554
84.5,-38.5,456,0.017393881292925732,NA,NA,0.012632072073830295
85.5,-38.5,457,0.016614506192973992,NA,NA,0.0119476618059404
86.5,-38.5,458,0.014847678030406108,NA,NA,0.011067709277812535
87.5,-38.5,459,0.013322028217366211,NA,NA,0.010275547379623554
88.5,-38.5,460,0.013151174555952092,NA,NA,0.010072903720721007
89.5,-38.5,461,0.014107959315138545,NA,NA,0.011335218347026157
-99.5,-37.5,518,0.049892387437061224,NA,NA,0.019487737123208462
-98.5,-37.5,519,0.054114248727234505,NA,NA,0.020937000809504242
-97.5,-37.5,520,0.051147479608631426,NA,NA,0.020120549170529228
-96.5,-37.5,521,0.04452285620248074,NA,NA,0.018739866923656586
-95.5,-37.5,522,0.043339235729953754,NA,NA,0.01949323169851874
-94.5,-37.5,523,0.040363409353019714,NA,NA,0.016458347620836984
-93.5,-37.5,524,0.03649305629364376,NA,NA,0.012757058775622276
-92.5,-37.5,525,0.02721455055553716,NA,NA,0.01153388503845319
-91.5,-37.5,526,0.022770831931402825,NA,NA,0.009694430034945602
-90.5,-37.5,527,0.027864122832688253,NA,NA,0.016264843712952715
-79.5,-37.5,538,0.030288844061164718,NA,NA,NA
-78.5,-37.5,539,0.028708554026458,NA,NA,NA
-77.5,-37.5,540,0.031094719200808384,NA,NA,NA
-76.5,-37.5,541,0.031211185518842197,NA,NA,NA
-75.5,-37.5,542,0.036192690708468485,NA,NA,NA
-74.5,-37.5,543,0.028983302575609746,NA,NA,NA
-73.5,-37.5,544,0.03109985129180303,NA,NA,NA
-72.5,-37.5,545,0.02987036077866358,NA,NA,NA
-71.5,-37.5,546,0.024793799681341287,NA,NA,NA
-70.5,-37.5,547,0.039669862911623464,NA,NA,NA
-69.5,-37.5,548,0.027769248199940446,NA,NA,0.013056160280856566
-68.5,-37.5,549,0.02096342538295914,NA,NA,0.010963237220859998
-67.5,-37.5,550,0.013104815097957778,NA,NA,0.01034123011275453
-66.5,-37.5,551,0.013971038568289696,NA,NA,0.011842238778295489
-65.5,-37.5,552,0.013655020588798422,NA,NA,0.011495808103574008
-64.5,-37.5,553,0.015924619878088832,NA,NA,0.01227763293687129
-63.5,-37.5,554,0.012820269458458924,NA,NA,0.014142698793244838
-62.5,-37.5,555,0.019030157603775077,NA,NA,0.015338748279408681
-61.5,-37.5,556,0.011127788317608578,NA,NA,0.015269648404293405
-60.5,-37.5,557,0.011548584123376058,NA,NA,0.014867369761167523
-29.5,-37.5,578,0.024415117320548588,0.012182526983779595,0.006436457742952635,0.010142782456531921
-28.5,-37.5,579,0.018998494275797237,0.009933518882593079,0.010181853458206378,0.018715431762307368
-27.5,-37.5,580,0.024825074375309404,0.010198964368962574,0.010956456545198704,0.018276995827160636
-26.5,-37.5,581,0.020404065264744944,0.00911850485994764,0.009795643223530298,0.017205067087845922
-25.5,-37.5,582,0.025504586392007724,0.008997699268651817,0.009503942900908852,0.016745512635550297
-24.5,-37.5,583,0.022712577719913505,0.013070458013092716,0.010689984830191613,0.015924485167029826
-23.5,-37.5,584,0.01697226955459399,0.009905675525598961,0.008543265699665018,0.0129501907100142
-22.5,-37.5,585,0.01637449176836058,0.009466658295505298,0.007588362611948831,0.013208062442952997
-21.5,-37.5,586,0.013230873526282312,0.007425351914906387,0.006925868540953531,0.011620483607719107
-20.5,-37.5,587,0.015463860071773163,0.007558832985674595,0.0077690150039301745,0.012288778433326644
80.5,-37.5,687,0.0235416911476475,NA,NA,0.018493060038777705
81.5,-37.5,688,0.021968547736256668,NA,NA,0.01416263035668127
82.5,-37.5,689,0.01957428226636261,NA,NA,0.012143659182769963
83.5,-37.5,690,0.0196711818579699,NA,NA,0.012145125097106461
84.5,-37.5,691,0.01897054288238942,NA,NA,0.013198834805380727
85.5,-37.5,692,0.019591754705280198,NA,NA,0.012438144206552404
86.5,-37.5,693,0.01983343204848943,NA,NA,0.012274712157261832
