X_coords,Y_coords,cellID,ALB_jan-mar,ALB_apr-jun,ALB_jul-sep,ALB_oct-dec
-24.5,-38.5,350,0.011594427528740582,0.0036162660203693077,0.003874168020668051,0.004118297204559149
-23.5,-38.5,351,0.011161559931065702,0.0036943319421679794,0.0037413048975447082,0.004417630730942271
-22.5,-38.5,352,0.010545873914723409,0.00328716963874614,0.0035691877469331366,0.00486270383777152
-21.5,-38.5,353,0.0070923563568810345,0.0015328832145320556,0.0027377259257734482,0.0037626709644187958
-20.5,-38.5,354,0.008343382331563242,0.0015311743077264565,0.0016070347520417548,0.002766238820472384
80.5,-38.5,452,0.005290612118584701,NA,NA,0.010589188804958696
81.5,-38.5,453,0.005098320673748141,NA,NA,0.007833265885275427
82.5,-38.5,454,0.004970938431186998,NA,NA,0.007638075267887126
83.5,-38.5,455,0.004970938431186998,NA,NA,0.007638075267887126
84.5,-38.5,456,0.0049022602996415,NA,NA,0.007571242304684156
85.5,-38.5,457,0.004715002801134342,NA,NA,0.007468414456756254
86.5,-38.5,458,0.004764177239596167,NA,NA,0.007468414456756254
87.5,-38.5,459,0.004764177239596167,NA,NA,0.007489763096808476
88.5,-38.5,460,0.004799258732072106,NA,NA,0.007489763096808476
89.5,-38.5,461,0.0048284745367014135,NA,NA,0.007535233512610942
-99.5,-37.5,518,0.004934839554460288,NA,NA,0.002967637827071424
-98.5,-37.5,519,0.004729950492226705,NA,NA,0.002945245556618968
-97.5,-37.5,520,0.004925817254812876,NA,NA,0.002945245556618968
-96.5,-37.5,521,0.004860316167936204,NA,NA,0.002933110177677466
-95.5,-37.5,522,0.004877148148952421,NA,NA,0.0028702191301770465
-94.5,-37.5,523,0.004964287124900825,NA,NA,0.002926577147979204
-93.5,-37.5,524,0.003520736272240614,NA,NA,0.0031018560279896254
-92.5,-37.5,525,0.004136364318999669,NA,NA,0.0030472236531251043
-91.5,-37.5,526,0.004188186982823203,NA,NA,0.003037304517098672
-90.5,-37.5,527,0.00433992747635198,NA,NA,0.002487928454466616
-79.5,-37.5,538,0.0030590874003124206,NA,NA,NA
-78.5,-37.5,539,0.0030590874003124206,NA,NA,NA
-77.5,-37.5,540,0.0038006232510824356,NA,NA,NA
-76.5,-37.5,541,0.0029850483229681606,NA,NA,NA
-75.5,-37.5,542,0.0029750163125773633,NA,NA,NA
-74.5,-37.5,543,0.003246323723018311,NA,NA,NA
-73.5,-37.5,544,0.003192166667563595,NA,NA,NA
-72.5,-37.5,545,0.003598688298374624,NA,NA,NA
-71.5,-37.5,546,0.003087291388059396,NA,NA,NA
-70.5,-37.5,547,0.003041516348786732,NA,NA,NA
-69.5,-37.5,548,0.002437955346068624,NA,NA,0.0018940393864730703
-68.5,-37.5,549,0.002450095446586159,NA,NA,0.0020508138084143284
-67.5,-37.5,550,0.0027037609295879196,NA,NA,0.0022852583655224704
-66.5,-37.5,551,0.003138056726893024,NA,NA,0.0023425623214148677
-65.5,-37.5,552,0.0036054378511814877,NA,NA,0.0023703898070998536
-64.5,-37.5,553,0.002295066743351151,NA,NA,0.0023944891265835952
-63.5,-37.5,554,0.002376454671500347,NA,NA,0.002530101182888201
-62.5,-37.5,555,0.0024074125348103096,NA,NA,0.0025244489714006104
-61.5,-37.5,556,0.002406811305502146,NA,NA,0.0025529036222211635
-60.5,-37.5,557,0.0023304982504618464,NA,NA,0.002502610143918963
-29.5,-37.5,578,0.006336431940910841,0.004405201934309528,0.0014926313346573482,0.0042278889366196264
-28.5,-37.5,579,0.006048763946011319,0.004209028955737029,0.002333372541407159,0.004114887757692477
-27.5,-37.5,580,0.0076063430124572754,0.004020368043598381,0.0023041602400604576,0.004336831691301552
-26.5,-37.5,581,0.007193993593047672,0.003625577668725224,0.0021805439704589607,0.004684138762297762
-25.5,-37.5,582,0.0071924968381048586,0.003476469987520375,0.0026349699126268483,0.004840370695718357
-24.5,-37.5,583,0.010560920454549908,0.0034405236330391736,0.003587957827666364,0.006232888705333525
-23.5,-37.5,584,0.011617073507499694,0.00374800917587731,0.003520547305874582,0.007062693407834521
-22.5,-37.5,585,0.01049162850237378,0.0035099352737572955,0.003557280746787592,0.005662496970686594
-21.5,-37.5,586,0.010364440807845838,0.0034027147371600386,0.0035442922871446176,0.0059025215427117445
-20.5,-37.5,587,0.010406684993088253,0.0022132919351868347,0.002675822713877137,0.004373244318205367
80.5,-37.5,687,0.005290872249459047,NA,NA,0.008059867942372375
81.5,-37.5,688,0.005010294739636478,NA,NA,0.007824158176025262
82.5,-37.5,689,0.0044109706449586596,NA,NA,0.010802153127753135
83.5,-37.5,690,0.004563030391230479,NA,NA,0.0072506902176475724
84.5,-37.5,691,0.00452515952270582,NA,NA,0.007279281981899567
85.5,-37.5,692,0.00452515952270582,NA,NA,0.007743867266571534
86.5,-37.5,693,0.0045941698914900835,NA,NA,0.007561469528053543
87.5,-37.5,694,0.0045941698914900835,NA,NA,0.007561469528053543
88.5,-37.5,695,0.004610033063597951,NA,NA,0.007435338715472197
89.5,-37.5,696,0.004709061744618111,NA,NA,0.00753923510184649
-99.5,-36.5,753,0.004144880303681273,NA,NA,0.0032803391765069832
-98.5,-36.5,754,0.005128061656566847,NA,NA,0.0033379787929243825
-97.5,-36.5,755,0.005318238919657233,NA,NA,0.003406182744400698
-96.5,-36.5,756,0.004876325358059503,NA,NA,0.003276707213104618
-95.5,-36.5,757,0.004037594815603379,NA,NA,0.0032369979906402887
-94.5,-36.5,758,0.004150596599630697,NA,NA,0.0033276680145938736
-93.5,-36.5,759,0.0047892436628471854,NA,NA,0.003979456059653245
-92.5,-36.5,760,0.004127265304320129,NA,NA,0.0034864064687970707
-91.5,-36.5,761,0.002796368188656007,NA,NA,0.0027002925234688568
-90.5,-36.5,762,0.003265633343989458,NA,NA,0.0034751082448888125
-79.5,-36.5,773,0.0030130319299867037,NA,NA,NA
-78.5,-36.5,774,0.0030325226282986012,NA,NA,NA
-77.5,-36.5,775,0.0031408885271745797,NA,NA,NA
-76.5,-36.5,776,0.0026562936930405144,NA,NA,NA
-75.5,-36.5,777,0.0015500435182304105,NA,NA,NA
-74.5,-36.5,778,0.0016284583107286574,NA,NA,NA
-73.5,-36.5,779,0.0015317748541031262,NA,NA,NA
-72.5,-36.5,780,0.0016695618102156966,NA,NA,NA
-71.5,-36.5,781,0.001604559837092626,NA,NA,NA
-70.5,-36.5,782,0.0014865655198180773,NA,NA,NA
-69.5,-36.5,783,0.001579095038647946,NA,NA,0.0017662707472516886
-68.5,-36.5,784,0.0018381233882376422,NA,NA,0.0014549605108823743
-67.5,-36.5,785,0.002518055493208367,NA,NA,0.0020807767211017173
-66.5,-36.5,786,0.004585234360722637,NA,NA,0.0018754511122207457
-65.5,-36.5,787,0.004946154940122945,NA,NA,0.0014482667337929551
-64.5,-36.5,788,0.011174355423189225,NA,NA,0.002474354739540644
-63.5,-36.5,789,0.013546355576138064,NA,NA,0.0025788525144004554
-62.5,-36.5,790,0.015319233636701781,NA,NA,0.0015164691594333449
-61.5,-36.5,791,0.014473283389493611,NA,NA,0.002583826430081756
-60.5,-36.5,792,0.008359911613277551,NA,NA,0.002609377088270102
-29.5,-36.5,813,0.004558431261634168,0.003270382682774657,0.0018544010695607219,0.005694830498084534
-28.5,-36.5,814,0.006002059858494976,0.004134569638410115,0.002965966195658234,0.004376081448504114
-27.5,-36.5,815,0.007632191816617509,0.0036161296791627656,0.002303058602437192,0.004654488780320101
-26.5,-36.5,816,0.0074287916074187495,0.0035608085261292664,0.0021713769261998287,0.0050193498454568514
-25.5,-36.5,817,0.007281597588306294,0.0035222563014061523,0.0025390022813505473,0.004747929525584872
-24.5,-36.5,818,0.007265496512687447,0.003486936089608102,0.0025023670841187204,0.004700376576941767
-23.5,-36.5,819,0.007835277870147943,0.0037615145453819433,0.0034173131121145225,0.005331886719005817
-22.5,-36.5,820,0.010199200421323634,0.0034029927667326826,0.003531407417708792,0.006921758603214265
-21.5,-36.5,821,0.01085803026000418,0.0035506819215912547,0.0035365582639320598,0.005590088497991853
-20.5,-36.5,822,0.010508459991989778,0.0029527233412783797,0.0038353978294205604,0.006641480322700052
80.5,-36.5,922,0.0043817718325964644,NA,NA,0.007882621228652372
81.5,-36.5,923,0.0044922507460576615,NA,NA,0.007823696754736018
82.5,-36.5,924,0.004555463016403859,NA,NA,0.009800284091291281
83.5,-36.5,925,0.004410337723507112,NA,NA,0.009800284091291281
84.5,-36.5,926,0.004410337723507112,NA,NA,0.007873318943781685
85.5,-36.5,927,0.0051395110167128276,NA,NA,0.007323985677034225
86.5,-36.5,928,0.004194711536051783,NA,NA,0.0069097480080118475
87.5,-36.5,929,0.004238482780404533,NA,NA,0.007590133258313838
88.5,-36.5,930,0.0035663542264192808,NA,NA,0.0067679368191113955
89.5,-36.5,931,0.003724409523000358,NA,NA,0.007104640363052505
-99.5,-35.5,989,0.004940046901593626,NA,NA,0.0033164430104709063
-98.5,-35.5,990,0.004853253557857577,NA,NA,0.0032830952293670087
-97.5,-35.5,991,0.004684110195288628,NA,NA,0.003349462220679332
-96.5,-35.5,992,0.004647750469265544,NA,NA,0.004253523319199681
-95.5,-35.5,993,0.0037465847370115675,NA,NA,0.004310055659060108
-94.5,-35.5,994,0.0032315428755503237,NA,NA,0.0033173811837873077
-93.5,-35.5,995,0.0035285959321756334,NA,NA,0.003980828756333265
-92.5,-35.5,996,0.0031935313206309466,NA,NA,0.0026530297956545122
-91.5,-35.5,997,0.0032482959206225964,NA,NA,0.002770810090540604
