Sc_name,C_name,Code,Taxo_group,Tribe,Genera,Stock_name,Ocean,Ocean_region,Country,Local_area,Area,Lat,Lon,Period_study,Startyear_study,Finalyear_study,Total_size,Sex,Lmax,Wmax,Growth_size,Linf,k,to,Growth_method,Tmax,Tmax_Taylor,Maturity_size,Lm,Lm50,Tm,Tm50,Fecundity_methods,Fecundity_size,Fmeanbatch,Oocytes_gram,Fecundity_equation,Fecundity_slope,Fecundity_Lm50,Spawning_freq,Spawning_season,Spawning_duration,Size_eggs,WL_size,WL_a,WL_b,WL_units,Source,Source_label,Source_format
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Hawaiian stock,Pacific,Northeast,USA,"Honolulu Island, Hawaii","Northeast Pacific Ocean (Honolulu, Hawaii)",21.1,-157.3,1988-1989,1988,1989,59,MM,149,29.8,NA,NA,NA,NA,Size-frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All year [peak: Apr-May],12,NA,NA,NA,NA,NA,Uchiyama2006,585,pdf
Allothunnus fallai,Slender tuna,SLT,Tunas,Thunnini,Allothunnus,Southern ocean stock,Southern,Southern,NA,NA,Southern Ocean,NA,NA,NA,NA,NA,NA,B,105,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collette1986,124,pdf
Allothunnus fallai,Slender tuna,SLT,Tunas,Thunnini,Allothunnus,Southern ocean stock,Southern,Southern,New Zealand,"Taiaroa Heads, New Zealand",Southern Ocean (Southeast coast of New Zealand),-45.5,171,NA,NA,NA,NA,B,92,11.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IGFA2011,267,pdf
Allothunnus fallai,Slender tuna,SLT,Tunas,Thunnini,Allothunnus,Southern ocean stock,Southern,Southern ,New Zealand,Otago,Southern Ocean (New Zealand),-45.4,170.9,1994-1996,1994,1996,NA,B,90,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OŒÇDriscoll1997,426,pdf
Allothunnus fallai,Slender tuna,SLT,Tunas,Thunnini,Allothunnus,Southern ocean stock,Southern,Southern Ocean,Tasmania,"South eastern and eastern, 42ŒÁS-43 3ŒÁS",Southern Ocean (Tasmania),-42.5,147.8,1974,1974,1974,163,B,92,13.7,NA,NA,NA,NA,Otoliths,6,NA,NA,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-Jun,3,NA,NA,4.50E-06,3.322,NA,Wolfe1975,623,pdf
Auxis rochei,Bullet tuna,BLT,Tunas,Thunnini,Auxis,Mediterranean stock?,Atlantic,Mediterranean Sea,NA,Aegean and Mediterranean seas,Mediterranean Sea (Aegean Sea),36.9,24.6,1994-1996,1994,1996,936,BB,44.5,1.75,630,47.76151,0.29235,-2.3649,Otoliths,5,7.896772653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mar-Sep,7,NA,936,0.0076,3.241,W in g and FL in cm,Bí_k2001,62,pdf
Auxis rochei,Bullet tuna,BLT,Tunas,Thunnini,Auxis,Mediterranean stock?,Atlantic,Mediterranean Sea,NA,Aegean and Mediterranean seas,Mediterranean Sea (Aegean Sea),36.9,24.6,1994-1998,1994,1998,311,FF,44.5,NA,311,45.26292,0.39722,-1.6044,Otoliths,5,5.948089804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mar-Sep,7,NA,311,0.000719,3.89,W in g and FL in cm,Bí_k2001,62,pdf
Auxis rochei,Bullet tuna,BLT,Tunas,Thunnini,Auxis,Mediterranean stock?,Atlantic,Mediterranean Sea,NA,Aegean and Mediterranean seas,Mediterranean Sea (Aegean Sea),36.9,24.6,1994-1997,1994,1997,309,MM,44.5,NA,309,45.08422,0.33988,-1.5984,Otoliths,5,7.228244698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mar-Sep,7,NA,309,0.000156,4.298,W in g and FL in cm,Bí_k2001,62,pdf
Auxis rochei,Bullet tuna,BLT,Tunas,Thunnini,Auxis,Mediterranean stock?,Atlantic,Mediterranean Sea,Spain,Catalan coast,"Mediterranean Sea (Catalan coast, Spain)",36.8,-1.1,?,NA,NA,1064,B,44,NA,NA,73.1999,0.447,-1.02,Size-frequency,NA,5.691409396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064,0.002182,3.5614,W in g and FL in cm,de la Serna2005,524,pdf
Auxis rochei,Bullet tuna,BLT,Tunas,Thunnini,Auxis,Eastern central Atlantic stock?,Atlantic,Eastern central,Senegal,Eastern tropical Atlantic Ocean in Dakar,Eastern equatorial Atlantic Ocean (Senegal),15,-18,1988,1988,1988,511,B,48.5,2.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,2.25E-05,2.9705,W in g and FL in cm,Diouf1988,166,pdf
Auxis rochei,Bullet tuna,BLT,Tunas,Thunnini,Auxis,Eastern central Atlantic stock?,Atlantic,Eastern central,NA,Eastern part of the equatorial Atlantic Ocean,Eastern equatorial Atlantic Ocean,18.4,-23.1,1982-1984,1982,1984,490,B,40.36,NA,322,51.47,0.32,-0.83,Spines,4,8.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grudtsev1986,229,pdf
